Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.9990,0.4828,0.5228,0.4828,0.4672
1,val,1.8221,0.6219,0.6961,0.6219,0.6041
2,train,0.7025,0.8308,0.8341,0.8308,0.8298
2,val,0.7444,0.8287,0.8579,0.8287,0.8326
3,train,0.2951,0.9276,0.9274,0.9276,0.9273
3,val,0.3674,0.9099,0.9184,0.9099,0.9099
4,train,0.1760,0.9568,0.9569,0.9568,0.9567
4,val,0.2653,0.9261,0.9280,0.9261,0.9259
5,train,0.1148,0.9730,0.9731,0.9730,0.9730
5,val,0.2724,0.9291,0.9387,0.9291,0.9231
6,train,0.0637,0.9878,0.9878,0.9878,0.9878
6,val,0.2206,0.9365,0.9377,0.9365,0.9362
7,train,0.0496,0.9908,0.9909,0.9908,0.9908
7,val,0.2457,0.9335,0.9370,0.9335,0.9322
8,train,0.0426,0.9926,0.9927,0.9926,0.9926
8,val,0.2374,0.9350,0.9376,0.9350,0.9341
9,train,0.0354,0.9919,0.9919,0.9919,0.9919
9,val,0.2498,0.9350,0.9365,0.9350,0.9349
10,train,0.0346,0.9930,0.9930,0.9930,0.9930
10,val,0.2741,0.9365,0.9428,0.9365,0.9340
11,train,0.0347,0.9930,0.9930,0.9930,0.9930
11,val,0.2113,0.9513,0.9534,0.9513,0.9507
12,train,0.0273,0.9926,0.9926,0.9926,0.9926
12,val,0.2351,0.9453,0.9462,0.9453,0.9453
13,train,0.0162,0.9974,0.9974,0.9974,0.9974
13,val,0.2535,0.9424,0.9435,0.9424,0.9425
14,train,0.0175,0.9963,0.9963,0.9963,0.9963
14,val,0.2526,0.9453,0.9466,0.9453,0.9452
15,train,0.0262,0.9919,0.9919,0.9919,0.9919
15,val,0.2731,0.9306,0.9325,0.9306,0.9303
16,train,0.0227,0.9934,0.9934,0.9934,0.9933
16,val,0.2785,0.9365,0.9383,0.9365,0.9359
17,train,0.0134,0.9974,0.9974,0.9974,0.9974
17,val,0.2685,0.9498,0.9504,0.9498,0.9496
18,train,0.0172,0.9963,0.9963,0.9963,0.9963
18,val,0.2744,0.9453,0.9467,0.9453,0.9456
19,train,0.0226,0.9937,0.9938,0.9937,0.9937
19,val,0.3113,0.9365,0.9375,0.9365,0.9358
20,train,0.0157,0.9967,0.9967,0.9967,0.9967
20,val,0.3044,0.9365,0.9377,0.9365,0.9362
21,train,0.0156,0.9956,0.9956,0.9956,0.9956
21,val,0.2878,0.9365,0.9376,0.9365,0.9361
22,train,0.0094,0.9985,0.9985,0.9985,0.9985
22,val,0.3079,0.9350,0.9382,0.9350,0.9342
23,train,0.0164,0.9970,0.9971,0.9970,0.9970
23,val,0.2528,0.9513,0.9532,0.9513,0.9515
24,train,0.0123,0.9982,0.9982,0.9982,0.9982
24,val,0.2773,0.9380,0.9407,0.9380,0.9381
25,train,0.0141,0.9963,0.9963,0.9963,0.9963
25,val,0.4010,0.9217,0.9307,0.9217,0.9179
26,train,0.0131,0.9978,0.9978,0.9978,0.9978
26,val,0.2854,0.9439,0.9471,0.9439,0.9431
27,train,0.0061,0.9993,0.9993,0.9993,0.9993
27,val,0.2544,0.9453,0.9465,0.9453,0.9456
28,train,0.0114,0.9974,0.9974,0.9974,0.9974
28,val,0.2572,0.9424,0.9435,0.9424,0.9424
29,train,0.0137,0.9970,0.9971,0.9970,0.9970
29,val,0.2600,0.9483,0.9500,0.9483,0.9483
30,train,0.0116,0.9970,0.9971,0.9970,0.9970
30,val,0.2649,0.9513,0.9525,0.9513,0.9513
31,train,0.0100,0.9978,0.9978,0.9978,0.9978
31,val,0.2723,0.9453,0.9464,0.9453,0.9453
32,train,0.0057,0.9982,0.9982,0.9982,0.9982
32,val,0.2906,0.9409,0.9442,0.9409,0.9406
33,train,0.0057,0.9985,0.9985,0.9985,0.9985
33,val,0.2887,0.9424,0.9438,0.9424,0.9425
34,train,0.0076,0.9989,0.9989,0.9989,0.9989
34,val,0.2820,0.9380,0.9400,0.9380,0.9380
35,train,0.0051,0.9993,0.9993,0.9993,0.9993
35,val,0.2805,0.9453,0.9479,0.9453,0.9456
36,train,0.0052,0.9982,0.9982,0.9982,0.9982
36,val,0.2909,0.9439,0.9458,0.9439,0.9435
Evaluation Metrics:
Accuracy: 0.9513, Precision: 0.9534, Recall: 0.9513, F1 Score: 0.9507

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.7975, Precision: 0.8255, Recall: 0.7975, F1 Score: 0.7866
Model Summary:
Total params: 64053384
Trainable params: 64,053,384
