Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
55,val,0.7581,0.9660,0.9661,0.9660,0.9658
56,train,1.2442,0.7176,0.4657,0.4655,0.4654
56,val,0.7918,0.9660,0.9664,0.9660,0.9659
57,train,1.1819,0.7392,0.5717,0.5711,0.5712
57,val,0.7690,0.9645,0.9651,0.9645,0.9645
58,train,1.1339,0.7700,0.4926,0.4928,0.4925
58,val,0.7484,0.9631,0.9634,0.9631,0.9630
59,train,1.1935,0.7293,0.5188,0.5187,0.5185
59,val,0.7682,0.9645,0.9695,0.9645,0.9639
60,train,1.2530,0.6973,0.4486,0.4488,0.4484
60,val,0.7681,0.9660,0.9678,0.9660,0.9659
61,train,1.2132,0.7311,0.5282,0.5283,0.5280
61,val,0.7870,0.9631,0.9653,0.9631,0.9629
62,train,1.1911,0.7330,0.5703,0.5707,0.5703
62,val,0.7588,0.9631,0.9638,0.9631,0.9630
63,train,1.1579,0.7507,0.6013,0.6014,0.6011
63,val,0.7609,0.9690,0.9722,0.9690,0.9687
64,train,1.1454,0.7735,0.5701,0.5704,0.5700
64,val,0.7578,0.9645,0.9649,0.9645,0.9645
65,train,1.2380,0.7117,0.4626,0.4618,0.4619
65,val,0.7813,0.9645,0.9664,0.9645,0.9645
66,train,1.1673,0.7569,0.5266,0.5268,0.5265
66,val,0.7582,0.9586,0.9594,0.9586,0.9580
67,train,1.1659,0.7612,0.5817,0.5815,0.5814
67,val,0.7712,0.9690,0.9698,0.9690,0.9690
68,train,1.1457,0.7622,0.5726,0.5730,0.5726
68,val,0.7526,0.9705,0.9717,0.9705,0.9704
69,train,1.1858,0.7309,0.5939,0.5936,0.5935
69,val,0.7592,0.9631,0.9635,0.9631,0.9623
70,train,1.1719,0.7717,0.5415,0.5416,0.5414
70,val,0.7748,0.9660,0.9673,0.9660,0.9661
71,train,1.1912,0.7278,0.6513,0.6516,0.6513
71,val,0.7702,0.9690,0.9712,0.9690,0.9690
72,train,1.1709,0.7246,0.5197,0.5198,0.5196
72,val,0.7568,0.9705,0.9707,0.9705,0.9704
73,train,1.1889,0.7146,0.5271,0.5272,0.5269
73,val,0.7672,0.9616,0.9624,0.9616,0.9615
74,train,1.1974,0.7162,0.5425,0.5419,0.5418
74,val,0.7550,0.9675,0.9690,0.9675,0.9674
75,train,1.1836,0.7364,0.5392,0.5393,0.5391
75,val,0.7603,0.9616,0.9627,0.9616,0.9607
76,train,1.2419,0.6658,0.4692,0.4688,0.4689
76,val,0.7589,0.9705,0.9707,0.9705,0.9703
77,train,1.1537,0.7475,0.6096,0.6095,0.6094
77,val,0.7530,0.9572,0.9589,0.9572,0.9553
78,train,1.1129,0.7969,0.4906,0.4906,0.4905
78,val,0.7496,0.9705,0.9715,0.9705,0.9704
79,train,1.1253,0.7579,0.5281,0.5279,0.5279
79,val,0.7687,0.9586,0.9602,0.9586,0.9571
80,train,1.1001,0.7828,0.5142,0.5139,0.5139
80,val,0.7439,0.9660,0.9665,0.9660,0.9659
81,train,1.1627,0.7441,0.5731,0.5733,0.5730
81,val,0.7643,0.9631,0.9661,0.9631,0.9627
82,train,1.1711,0.7521,0.6368,0.6365,0.6365
82,val,0.7768,0.9601,0.9651,0.9601,0.9594
83,train,1.1547,0.7458,0.4875,0.4873,0.4873
83,val,0.7655,0.9705,0.9719,0.9705,0.9703
84,train,1.1328,0.7548,0.6617,0.6612,0.6612
84,val,0.7445,0.9645,0.9652,0.9645,0.9640
85,train,1.1150,0.7874,0.7326,0.7322,0.7322
85,val,0.7378,0.9734,0.9741,0.9734,0.9734
86,train,1.2010,0.7282,0.4062,0.4064,0.4062
86,val,0.7697,0.9572,0.9639,0.9572,0.9558
87,train,1.1765,0.7407,0.6052,0.6051,0.6050
87,val,0.7692,0.9631,0.9666,0.9631,0.9628
88,train,1.1223,0.7696,0.4795,0.4795,0.4794
88,val,0.7596,0.9645,0.9679,0.9645,0.9642
89,train,1.1873,0.7450,0.4710,0.4714,0.4711
89,val,0.7739,0.9645,0.9679,0.9645,0.9642
90,train,1.1847,0.7357,0.5258,0.5253,0.5254
90,val,0.7620,0.9631,0.9682,0.9631,0.9624
91,train,1.1223,0.7680,0.5600,0.5604,0.5600
91,val,0.7446,0.9690,0.9699,0.9690,0.9689
92,train,1.2138,0.6942,0.5112,0.5113,0.5109
92,val,0.7710,0.9690,0.9705,0.9690,0.9689
93,train,1.2039,0.6936,0.4137,0.4141,0.4137
93,val,0.7602,0.9631,0.9664,0.9631,0.9628
94,train,1.1756,0.7453,0.5151,0.5150,0.5148
94,val,0.7683,0.9705,0.9716,0.9705,0.9704
95,train,1.1373,0.7363,0.6073,0.6069,0.6069
95,val,0.7432,0.9660,0.9668,0.9660,0.9659
96,train,1.1157,0.7661,0.5897,0.5896,0.5895
96,val,0.7514,0.9705,0.9711,0.9705,0.9703
97,train,1.0998,0.7632,0.5548,0.5545,0.5545
97,val,0.7442,0.9601,0.9659,0.9601,0.9593
98,train,1.1543,0.7463,0.6059,0.6058,0.6058
98,val,0.7539,0.9616,0.9661,0.9616,0.9611
99,train,1.1308,0.7723,0.5001,0.5002,0.5000
99,val,0.7477,0.9660,0.9663,0.9660,0.9657
100,train,1.1421,0.7328,0.5583,0.5578,0.5577
100,val,0.7469,0.9690,0.9693,0.9690,0.9689
101,train,1.1179,0.7679,0.7066,0.7063,0.7063
101,val,0.7480,0.9690,0.9691,0.9690,0.9688
102,train,1.2111,0.7020,0.5697,0.5693,0.5693
102,val,0.7686,0.9690,0.9717,0.9690,0.9688
103,train,1.1391,0.7605,0.5513,0.5508,0.5509
103,val,0.7610,0.9616,0.9660,0.9616,0.9611
104,train,1.1714,0.7430,0.5508,0.5504,0.5504
104,val,0.7575,0.9616,0.9666,0.9616,0.9609
105,train,1.1681,0.7325,0.5127,0.5127,0.5126
105,val,0.7587,0.9675,0.9688,0.9675,0.9675
106,train,1.1521,0.7312,0.3688,0.3687,0.3686
106,val,0.7405,0.9690,0.9702,0.9690,0.9690
107,train,1.2265,0.6838,0.5551,0.5549,0.5548
107,val,0.7617,0.9705,0.9719,0.9705,0.9704
108,train,1.1761,0.7293,0.6106,0.6106,0.6104
108,val,0.7727,0.9675,0.9702,0.9675,0.9673
109,train,1.1481,0.7546,0.5794,0.5796,0.5793
109,val,0.7505,0.9660,0.9679,0.9660,0.9659
