Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,2.5404,0.3144,0.3374,0.3144,0.2963
1,val,2.2552,0.5406,0.6343,0.5406,0.4943
2,train,1.5085,0.6805,0.6981,0.6805,0.6572
2,val,1.1989,0.7917,0.8230,0.7917,0.7709
3,train,0.8436,0.8419,0.8506,0.8419,0.8368
3,val,0.6293,0.8789,0.8853,0.8789,0.8655
4,train,0.4925,0.9110,0.9112,0.9110,0.9108
4,val,0.4115,0.9158,0.9218,0.9158,0.9119
5,train,0.3408,0.9342,0.9346,0.9342,0.9343
5,val,0.2537,0.9335,0.9341,0.9335,0.9334
6,train,0.2427,0.9586,0.9591,0.9586,0.9584
6,val,0.2378,0.9350,0.9400,0.9350,0.9332
7,train,0.1720,0.9712,0.9713,0.9712,0.9712
7,val,0.2344,0.9409,0.9415,0.9409,0.9396
8,train,0.1344,0.9782,0.9783,0.9782,0.9782
8,val,0.2902,0.9173,0.9265,0.9173,0.9141
9,train,0.0935,0.9882,0.9882,0.9882,0.9882
9,val,0.2372,0.9439,0.9463,0.9439,0.9419
10,train,0.0731,0.9911,0.9912,0.9911,0.9911
10,val,0.2736,0.9321,0.9355,0.9321,0.9311
11,train,0.0675,0.9919,0.9919,0.9919,0.9919
11,val,0.2435,0.9380,0.9381,0.9380,0.9358
12,train,0.0648,0.9908,0.9908,0.9908,0.9908
12,val,0.2382,0.9439,0.9453,0.9439,0.9406
13,train,0.0526,0.9930,0.9930,0.9930,0.9930
13,val,0.2673,0.9335,0.9338,0.9335,0.9330
14,train,0.0491,0.9926,0.9927,0.9926,0.9926
14,val,0.2275,0.9424,0.9423,0.9424,0.9415
15,train,0.0564,0.9911,0.9912,0.9911,0.9911
15,val,0.2689,0.9335,0.9337,0.9335,0.9307
16,train,0.0374,0.9952,0.9952,0.9952,0.9952
16,val,0.2261,0.9453,0.9464,0.9453,0.9440
17,train,0.0407,0.9926,0.9927,0.9926,0.9926
17,val,0.2350,0.9453,0.9450,0.9453,0.9447
18,train,0.0228,0.9974,0.9974,0.9974,0.9974
18,val,0.2390,0.9468,0.9469,0.9468,0.9462
19,train,0.0293,0.9945,0.9945,0.9945,0.9945
19,val,0.2303,0.9453,0.9451,0.9453,0.9445
20,train,0.0351,0.9930,0.9930,0.9930,0.9930
20,val,0.2755,0.9409,0.9414,0.9409,0.9405
21,train,0.0265,0.9948,0.9949,0.9948,0.9948
21,val,0.2689,0.9394,0.9403,0.9394,0.9388
22,train,0.0306,0.9934,0.9934,0.9934,0.9933
22,val,0.2592,0.9335,0.9343,0.9335,0.9332
23,train,0.0146,0.9982,0.9982,0.9982,0.9981
23,val,0.2410,0.9439,0.9438,0.9439,0.9436
24,train,0.0190,0.9963,0.9963,0.9963,0.9963
24,val,0.2440,0.9380,0.9399,0.9380,0.9376
25,train,0.0194,0.9978,0.9978,0.9978,0.9978
25,val,0.2890,0.9365,0.9380,0.9365,0.9361
26,train,0.0141,0.9978,0.9978,0.9978,0.9978
26,val,0.2499,0.9380,0.9394,0.9380,0.9377
27,train,0.0185,0.9974,0.9975,0.9974,0.9974
27,val,0.3048,0.9335,0.9374,0.9335,0.9316
28,train,0.0181,0.9974,0.9974,0.9974,0.9974
28,val,0.2719,0.9453,0.9459,0.9453,0.9452
29,train,0.0164,0.9967,0.9967,0.9967,0.9967
29,val,0.3068,0.9321,0.9358,0.9321,0.9307
30,train,0.0136,0.9978,0.9978,0.9978,0.9978
30,val,0.2726,0.9321,0.9329,0.9321,0.9314
31,train,0.0192,0.9959,0.9960,0.9959,0.9959
31,val,0.2885,0.9394,0.9397,0.9394,0.9390
32,train,0.0151,0.9974,0.9974,0.9974,0.9974
32,val,0.2724,0.9424,0.9432,0.9424,0.9419
33,train,0.0203,0.9967,0.9967,0.9967,0.9967
33,val,0.2550,0.9409,0.9413,0.9409,0.9402
34,train,0.0154,0.9963,0.9963,0.9963,0.9963
34,val,0.2988,0.9365,0.9385,0.9365,0.9358
35,train,0.0120,0.9963,0.9963,0.9963,0.9963
35,val,0.3146,0.9350,0.9396,0.9350,0.9325
36,train,0.0129,0.9974,0.9974,0.9974,0.9974
36,val,0.2824,0.9453,0.9486,0.9453,0.9430
37,train,0.0147,0.9970,0.9971,0.9970,0.9970
37,val,0.2920,0.9394,0.9403,0.9394,0.9391
38,train,0.0122,0.9974,0.9974,0.9974,0.9974
38,val,0.2757,0.9409,0.9405,0.9409,0.9404
39,train,0.0118,0.9967,0.9967,0.9967,0.9967
39,val,0.3112,0.9380,0.9378,0.9380,0.9375
40,train,0.0093,0.9985,0.9985,0.9985,0.9985
40,val,0.3127,0.9453,0.9454,0.9453,0.9447
41,train,0.0104,0.9970,0.9971,0.9970,0.9970
41,val,0.3109,0.9468,0.9475,0.9468,0.9458
Evaluation Metrics:
Accuracy: 0.9453, Precision: 0.9464, Recall: 0.9453, F1 Score: 0.9440

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8625, Precision: 0.8748, Recall: 0.8625, F1 Score: 0.8555
Model Summary:
Total params: 42198200
Trainable params: 42198200
