Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,0.8501,0.7961,0.8062,0.7961,0.7966
1,val,0.2857,0.9129,0.9273,0.9129,0.9100
2,train,0.2475,0.9228,0.9230,0.9228,0.9227
2,val,0.2400,0.9276,0.9344,0.9276,0.9213
3,train,0.1683,0.9494,0.9497,0.9494,0.9495
3,val,0.2149,0.9321,0.9385,0.9321,0.9317
4,train,0.1239,0.9656,0.9656,0.9656,0.9656
4,val,0.2349,0.9217,0.9281,0.9217,0.9209
5,train,0.0994,0.9760,0.9762,0.9760,0.9760
5,val,0.1819,0.9439,0.9459,0.9439,0.9441
6,train,0.0758,0.9789,0.9791,0.9789,0.9789
6,val,0.2260,0.9394,0.9460,0.9394,0.9374
7,train,0.0623,0.9849,0.9849,0.9849,0.9848
7,val,0.1990,0.9468,0.9486,0.9468,0.9469
8,train,0.0562,0.9874,0.9875,0.9874,0.9874
8,val,0.2572,0.9409,0.9429,0.9409,0.9379
9,train,0.0537,0.9837,0.9838,0.9837,0.9837
9,val,0.2178,0.9468,0.9518,0.9468,0.9475
10,train,0.0473,0.9889,0.9890,0.9889,0.9889
10,val,0.2271,0.9394,0.9434,0.9394,0.9400
11,train,0.0273,0.9941,0.9941,0.9941,0.9941
11,val,0.2686,0.9365,0.9393,0.9365,0.9365
12,train,0.0376,0.9922,0.9923,0.9922,0.9922
12,val,0.2814,0.9335,0.9367,0.9335,0.9339
13,train,0.0435,0.9878,0.9879,0.9878,0.9878
13,val,0.2611,0.9380,0.9395,0.9380,0.9362
14,train,0.0474,0.9893,0.9894,0.9893,0.9893
14,val,0.3151,0.9232,0.9453,0.9232,0.9170
15,train,0.0409,0.9878,0.9879,0.9878,0.9878
15,val,0.1818,0.9572,0.9580,0.9572,0.9570
16,train,0.0274,0.9948,0.9948,0.9948,0.9948
16,val,0.2730,0.9424,0.9458,0.9424,0.9428
17,train,0.0239,0.9937,0.9938,0.9937,0.9937
17,val,0.2447,0.9498,0.9514,0.9498,0.9499
18,train,0.0243,0.9945,0.9945,0.9945,0.9945
18,val,0.2753,0.9350,0.9365,0.9350,0.9336
19,train,0.0190,0.9948,0.9948,0.9948,0.9948
19,val,0.2433,0.9409,0.9441,0.9409,0.9410
20,train,0.0342,0.9897,0.9897,0.9897,0.9897
20,val,0.2701,0.9365,0.9392,0.9365,0.9366
21,train,0.0273,0.9922,0.9923,0.9922,0.9922
21,val,0.3197,0.9365,0.9388,0.9365,0.9358
22,train,0.0232,0.9922,0.9923,0.9922,0.9922
22,val,0.2677,0.9394,0.9404,0.9394,0.9391
23,train,0.0331,0.9908,0.9908,0.9908,0.9908
23,val,0.2860,0.9306,0.9331,0.9306,0.9304
24,train,0.0340,0.9878,0.9878,0.9878,0.9878
24,val,0.2729,0.9439,0.9469,0.9439,0.9437
25,train,0.0190,0.9941,0.9941,0.9941,0.9941
25,val,0.3038,0.9335,0.9380,0.9335,0.9336
26,train,0.0222,0.9926,0.9927,0.9926,0.9926
26,val,0.3039,0.9424,0.9448,0.9424,0.9425
27,train,0.0165,0.9952,0.9952,0.9952,0.9952
27,val,0.2760,0.9468,0.9517,0.9468,0.9468
28,train,0.0213,0.9948,0.9949,0.9948,0.9948
28,val,0.3154,0.9350,0.9373,0.9350,0.9348
29,train,0.0274,0.9930,0.9930,0.9930,0.9930
29,val,0.3212,0.9202,0.9276,0.9202,0.9196
30,train,0.0359,0.9908,0.9908,0.9908,0.9908
30,val,0.2545,0.9513,0.9515,0.9513,0.9508
31,train,0.0169,0.9952,0.9952,0.9952,0.9952
31,val,0.3552,0.9291,0.9297,0.9291,0.9243
32,train,0.0192,0.9930,0.9930,0.9930,0.9930
32,val,0.2908,0.9365,0.9384,0.9365,0.9366
33,train,0.0206,0.9952,0.9952,0.9952,0.9952
33,val,0.2919,0.9380,0.9398,0.9380,0.9379
34,train,0.0141,0.9952,0.9952,0.9952,0.9952
34,val,0.3043,0.9394,0.9453,0.9394,0.9402
35,train,0.0091,0.9974,0.9974,0.9974,0.9974
35,val,0.3528,0.9350,0.9377,0.9350,0.9329
36,train,0.0166,0.9959,0.9960,0.9959,0.9959
36,val,0.3342,0.9261,0.9302,0.9261,0.9262
37,train,0.0196,0.9937,0.9938,0.9937,0.9937
37,val,0.3103,0.9350,0.9371,0.9350,0.9354
38,train,0.0212,0.9941,0.9941,0.9941,0.9941
38,val,0.3242,0.9380,0.9392,0.9380,0.9377
39,train,0.0094,0.9970,0.9971,0.9970,0.9970
39,val,0.3249,0.9306,0.9325,0.9306,0.9302
40,train,0.0108,0.9978,0.9978,0.9978,0.9978
40,val,0.3109,0.9321,0.9349,0.9321,0.9322
Evaluation Metrics:
Accuracy: 0.9557, Precision: 0.9566, Recall: 0.9557, F1 Score: 0.9556

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8800, Precision: 0.8951, Recall: 0.8800, F1 Score: 0.8752
Model Summary:
Total params: 54387880
Trainable params: 54387880
