Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
1,train,1.8925,0.5604,0.6296,0.5604,0.5590
1,val,0.8045,0.8966,0.9079,0.8966,0.8883
2,train,0.7682,0.8759,0.8776,0.8759,0.8761
2,val,0.3920,0.9394,0.9428,0.9394,0.9379
3,train,0.4442,0.9206,0.9207,0.9206,0.9205
3,val,0.3125,0.9321,0.9342,0.9321,0.9316
4,train,0.2988,0.9546,0.9546,0.9546,0.9545
4,val,0.2587,0.9350,0.9376,0.9350,0.9310
5,train,0.2194,0.9623,0.9626,0.9623,0.9622
5,val,0.2707,0.9247,0.9293,0.9247,0.9231
6,train,0.1707,0.9730,0.9731,0.9730,0.9730
6,val,0.2264,0.9365,0.9416,0.9365,0.9344
7,train,0.1096,0.9882,0.9882,0.9882,0.9882
7,val,0.2294,0.9424,0.9431,0.9424,0.9421
8,train,0.0899,0.9904,0.9904,0.9904,0.9904
8,val,0.2251,0.9335,0.9376,0.9335,0.9310
9,train,0.0718,0.9911,0.9912,0.9911,0.9911
9,val,0.2487,0.9394,0.9411,0.9394,0.9397
10,train,0.0548,0.9945,0.9945,0.9945,0.9945
10,val,0.2088,0.9439,0.9450,0.9439,0.9432
11,train,0.0528,0.9948,0.9949,0.9948,0.9948
11,val,0.2593,0.9335,0.9351,0.9335,0.9327
12,train,0.0500,0.9926,0.9926,0.9926,0.9926
12,val,0.2260,0.9380,0.9385,0.9380,0.9375
13,train,0.0321,0.9978,0.9978,0.9978,0.9978
13,val,0.2184,0.9424,0.9447,0.9424,0.9415
14,train,0.0316,0.9970,0.9971,0.9970,0.9970
14,val,0.2543,0.9365,0.9381,0.9365,0.9356
15,train,0.0328,0.9952,0.9952,0.9952,0.9952
15,val,0.2770,0.9232,0.9261,0.9232,0.9212
16,train,0.0322,0.9945,0.9945,0.9945,0.9945
16,val,0.2808,0.9365,0.9368,0.9365,0.9329
17,train,0.0327,0.9956,0.9956,0.9956,0.9956
17,val,0.2108,0.9483,0.9488,0.9483,0.9480
18,train,0.0311,0.9948,0.9949,0.9948,0.9948
18,val,0.3261,0.9261,0.9300,0.9261,0.9249
19,train,0.0244,0.9952,0.9952,0.9952,0.9952
19,val,0.2082,0.9572,0.9574,0.9572,0.9570
20,train,0.0314,0.9952,0.9952,0.9952,0.9952
20,val,0.2368,0.9453,0.9484,0.9453,0.9457
21,train,0.0204,0.9963,0.9963,0.9963,0.9963
21,val,0.2286,0.9498,0.9507,0.9498,0.9495
22,train,0.0307,0.9922,0.9923,0.9922,0.9922
22,val,0.2292,0.9468,0.9479,0.9468,0.9460
23,train,0.0289,0.9952,0.9952,0.9952,0.9952
23,val,0.2395,0.9453,0.9462,0.9453,0.9449
24,train,0.0266,0.9952,0.9952,0.9952,0.9952
24,val,0.2209,0.9483,0.9491,0.9483,0.9467
25,train,0.0166,0.9963,0.9963,0.9963,0.9963
25,val,0.2245,0.9483,0.9494,0.9483,0.9479
26,train,0.0132,0.9985,0.9985,0.9985,0.9985
26,val,0.2885,0.9409,0.9443,0.9409,0.9403
27,train,0.0182,0.9967,0.9967,0.9967,0.9967
27,val,0.2399,0.9483,0.9500,0.9483,0.9479
28,train,0.0164,0.9967,0.9967,0.9967,0.9967
28,val,0.2377,0.9439,0.9451,0.9439,0.9426
29,train,0.0235,0.9948,0.9948,0.9948,0.9948
29,val,0.2462,0.9439,0.9454,0.9439,0.9442
30,train,0.0195,0.9959,0.9960,0.9959,0.9959
30,val,0.2399,0.9483,0.9489,0.9483,0.9478
31,train,0.0182,0.9963,0.9963,0.9963,0.9963
31,val,0.2437,0.9483,0.9493,0.9483,0.9473
32,train,0.0065,0.9993,0.9993,0.9993,0.9993
32,val,0.2194,0.9542,0.9549,0.9542,0.9543
33,train,0.0137,0.9978,0.9978,0.9978,0.9978
33,val,0.2592,0.9468,0.9484,0.9468,0.9464
34,train,0.0142,0.9974,0.9974,0.9974,0.9974
34,val,0.2608,0.9439,0.9443,0.9439,0.9437
35,train,0.0115,0.9970,0.9971,0.9970,0.9970
35,val,0.3580,0.9276,0.9335,0.9276,0.9265
36,train,0.0207,0.9959,0.9960,0.9959,0.9959
36,val,0.3043,0.9409,0.9450,0.9409,0.9404
37,train,0.0215,0.9956,0.9956,0.9956,0.9956
37,val,0.2731,0.9380,0.9395,0.9380,0.9377
38,train,0.0190,0.9956,0.9956,0.9956,0.9956
38,val,0.2594,0.9498,0.9518,0.9498,0.9498
39,train,0.0148,0.9970,0.9971,0.9970,0.9970
39,val,0.2953,0.9424,0.9441,0.9424,0.9419
40,train,0.0100,0.9978,0.9978,0.9978,0.9978
40,val,0.3010,0.9321,0.9333,0.9321,0.9313
41,train,0.0270,0.9930,0.9930,0.9930,0.9930
41,val,0.2999,0.9335,0.9347,0.9335,0.9324
42,train,0.0165,0.9967,0.9967,0.9967,0.9967
42,val,0.3366,0.9380,0.9431,0.9380,0.9379
43,train,0.0133,0.9974,0.9974,0.9974,0.9974
43,val,0.2992,0.9321,0.9348,0.9321,0.9319
44,train,0.0114,0.9967,0.9967,0.9967,0.9967
44,val,0.2936,0.9439,0.9477,0.9439,0.9427
Evaluation Metrics:
Accuracy: 0.9572, Precision: 0.9574, Recall: 0.9572, F1 Score: 0.9570

Evaluation on Test Set:
Evaluation Metrics:
Accuracy: 0.8250, Precision: 0.8814, Recall: 0.8250, F1 Score: 0.8247
Model Summary:
Total params: 26832552
Trainable params: 26832552
