Epoch,Phase,Loss,Accuracy,Precision,Recall,F1-Score
55,val,0.7713,0.9572,0.9578,0.9572,0.9572
56,train,1.2122,0.7316,0.5066,0.5072,0.5065
56,val,0.7835,0.9601,0.9608,0.9601,0.9602
57,train,1.2074,0.7294,0.5846,0.5840,0.5840
57,val,0.7813,0.9513,0.9563,0.9513,0.9509
58,train,1.2273,0.7104,0.5552,0.5556,0.5549
58,val,0.7818,0.9557,0.9598,0.9557,0.9556
59,train,1.1693,0.7257,0.6445,0.6443,0.6441
59,val,0.7658,0.9557,0.9597,0.9557,0.9556
60,train,1.2573,0.6847,0.6209,0.6202,0.6201
60,val,0.7795,0.9483,0.9536,0.9483,0.9478
61,train,1.1870,0.7419,0.5434,0.5430,0.5430
61,val,0.7722,0.9572,0.9607,0.9572,0.9571
62,train,1.1473,0.7521,0.5275,0.5272,0.5271
62,val,0.7570,0.9601,0.9627,0.9601,0.9602
63,train,1.1691,0.7233,0.5406,0.5401,0.5402
63,val,0.7911,0.9483,0.9555,0.9483,0.9472
64,train,1.1576,0.7677,0.5524,0.5523,0.5522
64,val,0.7865,0.9542,0.9577,0.9542,0.9543
65,train,1.1072,0.7999,0.5319,0.5316,0.5316
65,val,0.7795,0.9572,0.9593,0.9572,0.9573
66,train,1.1959,0.7272,0.5977,0.5981,0.5977
66,val,0.7716,0.9542,0.9558,0.9542,0.9544
67,train,1.1374,0.7703,0.5726,0.5730,0.5725
67,val,0.7890,0.9572,0.9601,0.9572,0.9572
68,train,1.1596,0.7379,0.6039,0.6040,0.6036
68,val,0.7520,0.9572,0.9604,0.9572,0.9571
69,train,1.2147,0.7231,0.5600,0.5597,0.5596
69,val,0.7898,0.9572,0.9588,0.9572,0.9573
70,train,1.1875,0.7547,0.7173,0.7170,0.7170
70,val,0.7641,0.9601,0.9623,0.9601,0.9602
71,train,1.2198,0.7010,0.5216,0.5212,0.5212
71,val,0.7658,0.9513,0.9563,0.9513,0.9509
72,train,1.1855,0.7483,0.5898,0.5892,0.5893
72,val,0.7752,0.9527,0.9593,0.9527,0.9524
73,train,1.1352,0.7298,0.5434,0.5438,0.5434
73,val,0.7661,0.9542,0.9590,0.9542,0.9538
74,train,1.2075,0.7120,0.5612,0.5611,0.5608
74,val,0.7663,0.9572,0.9597,0.9572,0.9572
75,train,1.2045,0.6968,0.4977,0.4980,0.4976
75,val,0.7925,0.9513,0.9569,0.9513,0.9508
76,train,1.1688,0.7404,0.4739,0.4736,0.4734
76,val,0.7583,0.9601,0.9604,0.9601,0.9600
77,train,1.1692,0.7378,0.5589,0.5589,0.5588
77,val,0.7577,0.9557,0.9574,0.9557,0.9558
